;;;;;;Series;MASTER CONNECTION;;;;;;;MOTION SYSTEM / MULTI MODELS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Future Master;;;Crazy Inventors;;;;;;;;;Design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Special Edition Landmarks;;;;;;;;Speed Play;;;;;Tuning R/C Cars;;;;;;;;;;;;;;Micro Kits;;;;;Maxi Kits;;;;;;;;Robots Collection;;;;;;Nano Series;;;;;;;XTREME Series;;;;;;;;Turbo Series;;;;;;;;;;;;Space Chaos Series;;;;;;;;;;;;;;;;;;;Tintin Series;;;Lapins Cretins / Rabbids Series;;;;;;;;;;;;Evolution Series;;;;;;;;Special Edition;;;;;;;;;;;;;;;;;;;;;
2;a;A302;;zn;"Perforated Strips, 4 1/2""";;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;2;;;1;2;1;1;5;5;2;1;2;;4;3;3;4;;;3;;;3;;;;;;;1;;;;0;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;4;;3;1;1;1;;12;12;12;;8;1;12;;;;;;;;;;;;;;;;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;1;;0;;;;;;;;;;2;0;;;;;;;3;;2;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;6;;;2;4;;;;10;;2
2;a;A302;bk;sp;"Perforated Strips, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;
2;a;A302;bkf;sp;"Perforated Strips, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;a;A302;bl;sp;"Perforated Strips, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;a;A302;grm;sp;"Perforated Strips, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
2;a;A302;kh;sp;"Perforated Strips, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;0;;;;0;;;;;;
2;a;A302;rd;sp;"Perforated Strips, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;a;A302;rdE;sp;"Perforated Strips, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;0;;;;0;;;;;;
2;a;A302;orl;sp;"Perforated Strips, 3 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;a;A302;wt;sp;"Perforated Strips, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;0;;;;0;;;;;;1
