;;;;;;Series;STANDARD SETS;;;;;;;;;;;;;;;;;;SPECIAL SETS;;;;;;;;;;;THEME SETS;;;;;;;;;;;;;MOTORS;;;;;;;;;;;;STANDARD SETS;;;;;;;;;;ACTION PACKS Series 1;;;;;;;;;ACTION PACKS Series 2;;;;;;;;
;;;;;;Set Number;7001;7021;7002;7022;7003;7023;7004;7024;7005;7025;7006;7026;7007;7027;7008;7028;7009;7010;7032;7034;;;7062;7074;;6018;;;7500;8001;8002;9015;9515;9014;9514;9016;9017;9517;9018;9518;9530;9531;11000;11010;11150;11055;11053;11057;11062;11071;11072;11170;11175;11180;7551;7501;7502;7503;7504;7505;7521;7522;7509;7510;7801;7802;7803;7804;7805;7806;7807;7808;7809;7950;7951;7952;7953;7954;7955;7956;7957;7958
;;;;;;Set Name;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Conv.S.;Set;Set;Motor.S.;Motor.S.;Electr.S.;Eltron.S.;Gears;Mecha;Electro;Flexible;Pocket;Pocket;Pocket;Clock;Clock;Army;Army;Highway;Highway;Super;Combat;Combat;Crane;Crane;Mecca;Space;Magic;No.1;E15R;P.Drive;P.Drive;P.Drive;6 Ratio;EU;EU;Steam;Hand;Power;A;No. 1;No. 2;No. 3;No. 4;No.5;Extens;Extens;No. 9;No. 10;Stellar;Star;Lunar;Cement;Breakd;Dumper;Farm;Combine;Prairie;Cosmic;Mob. R.;Moon;Contain;Bull;Tractor;Drags;Stock C;Formula
9;f;;;zn;"Angle Girder, 1 1/2""";;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;f;;bld;sp;"Angle Girder, 1 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;;;8;;;;;;;;;;;;;;;;;;
10;;;;zn;Fishplate;;4;;4;;4;1;5;;5;3;8;;8;4;12;8;20;24;4;5;10;5;;9;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;2;6;6;;;;;;
10;;;;bm;Fishplate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;2;2;2;;4;4;;2;20;;;;;;;;;;;;;;;;;;;
10;;;;ir;Fishplate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;24;1;;;;;;;;;;;;6;;;2;;
11;;;;zn;"Double Bracket, 1/2"" x 1/2""";;1;;1;;1;1;2;;2;2;4;;4;;4;1;5;12;1;2;2;2;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
11;;;;bm;"Double Bracket, 1/2"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;2;5;;;;;;;;;;;;;;;;;;;
11;;;;ir;"Double Bracket, 1/2"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;2;;3;;;;;;5;2;;
11;a;;;zn;"Double Bracket, 1"" x 1/2""";;;;;;;;;1;1;;1;;1;;1;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;a;;;bm;"Double Bracket, 1"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;1;3;;;;;;;;;;;;;;;;;;
12;;;;zn;"Angle Bracket, 1/2"" x 1/2""";;4;4;8;;8;2;10;;10;2;12;4;16;2;18;16;34;50;8;10;12;10;;10;;;4;4;;3;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;1;5;;2;;;;;;2;4;2;;;;;3;
12;;;;bm;"Angle Bracket, 1/2"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;12;;;;;;;;;;;;;;;4;4;4;;6;8;;4;34;;;;;;;;;;;;;;;;;;;
12;;;;ir;"Angle Bracket, 1/2"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;4;;;;;;50;;;;;;;2;;5;;;;5;;4;2;;
12;a;;;zn;"Angle Bracket, 1"" x 1""";;;;;;;;;;;2;2;;2;2;4;2;6;8;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;a;;;bm;"Angle Bracket, 1"" x 1""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;
12;a;;;ir;"Angle Bracket, 1"" x 1""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;
12;b;;;zn;"Angle Bracket, 1"" x 1/2""";;;;;;;;;;;;;;;;;2;2;8;;;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;3;;;;;;1;1;;;;;;;
12;b;;;bm;"Angle Bracket, 1"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;;2;2;2;;2;;;;;;;;;;;;;;;;;;;
12;b;;;ir;"Angle Bracket, 1"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;8;2;;;;;;1;;1;;;;4;;2;;;
12;c;;;zn;"Obtuse Angle Bracket 1/2"" x 1/2""";;;;;;;;;4;4;4;8;;8;;8;;8;12;;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;1;1;1;;;;;;
12;c;;;bm;"Obtuse Angle Bracket 1/2"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;4;4;4;;8;;;;;;;;;;;;;;;;;;;
12;c;;;ir;"Obtuse Angle Bracket 1/2"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;12;;;;;;;1;;;;;;;;1;3;;
13;;;;zn;"Axle Rod, 11 1/2""";;;;;;;;;;;;;1;1;;1;1;2;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;2;2;;;;;;;;;;;;;;;;;;
13;a;;;zn;"Axle Rod, 8""";;;;;;;;;;;;;;;;;1;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;
14;;;;zn;"Axle Rod, 6 1/2""";;;;;;;;;;;;;1;1;;1;2;3;4;;;;;;1;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;3;4;;;;;;;;;;;;;;;;;;
14;a;;;zn;"Axle Rod, 5 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;
15;;;;zn;"Axle Rod, 5""";;;;;;;;;;;2;2;;2;;2;2;4;6;;;;;;;;;;;;;;2;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;4;6;;;;;;;;;;;;;;;;;;
15;a;;;zn;"Axle Rod, 4 1/2""";;;;;;;;;;;1;1;;1;2;3;2;5;6;;;;;;;;;;;;;3;;2;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;5;6;;;;;;;;;;;;;;;;;;
15;b;;;zn;"Axle Rod, 4""";;;;;;;2;2;;2;;2;;2;;2;;2;2;;2;2;2;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;3;2;1;2;2;;;;;;;;;;;;;;;;;;
16;;;;zn;"Axle Rod, 3 1/2""";;1;1;2;;2;1;3;1;4;;4;;4;;4;1;5;8;2;3;3;4;;1;;;;;;;8;;;1;1;2;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;;5;8;;;;;;;;;;;;;;;;;;
16;a;;;zn;"Axle Rod, 2 1/2""";;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;5;5;2;2;;;;;;2;2;3;;;;;;;;;;;;;;;1;2;2;2;2;2;;;6;;;;;;;;;;;;;;;;;;
16;b;;;zn;"Axle Rod, 3""";;;;;;;;;;;;;;;;;;;4;;;1;;;;;;;;;;4;;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;1;;1;;4;;;;;;;;;;;;;;;;;;
17;;;;zn;"Axle Rod, 2""";;1;1;2;;2;;2;;2;;2;;2;;2;3;5;8;2;2;2;2;;2;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;5;8;;;;;;;;;;;;;;;;;;
18;a;;;zn;"Axle Rod, 1 1/2""";;;;;;;1;1;1;2;2;4;;4;;4;;4;6;;1;1;2;;2;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;4;6;;;;;;;;;;;;;;;;;;
18;b;;;zn;"Axle Rod, 1""";;1;;1;;1;;1;;1;;1;;1;;1;1;2;4;1;1;1;1;;;;;;;;;3;1;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;
19;a;;bk;sp;Spoked Wheel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;b;;bl;sp;"Pulley, 3"" diam. with boss";;;;;;;;;2;2;;2;;2;;2;;2;6;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;b;;yld;sp;"Pulley, 3"" diam. with boss";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;2;;2;2;6;;;;;;;;;;;;;;;;;;
19;c;;bl;sp;"Pulley, 6"" diam. with boss";;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;c;;bld;sp;"Pulley, 6"" diam. with boss";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
19;h;;;zn;"Crank Handle, 5"" shaft";;;;;;;;;;;;;1;1;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;
19;s;;;zn;"Crank Handle, 3 1/2"" shaft";;1;;1;;1;;1;;1;;1;;1;;1;;1;2;1;1;1;1;;;;;;;;;;;;2;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;
